NOM;URL;
United States;/search/title/?country_of_origin=US&ref_=tt_dt_cn;
France;/search/title/?country_of_origin=FR&ref_=tt_dt_cn;
Norway;/search/title/?country_of_origin=NO&ref_=tt_dt_cn;
United Kingdom;/search/title/?country_of_origin=GB&ref_=tt_dt_cn;
Denmark;/search/title/?country_of_origin=DK&ref_=tt_dt_cn;
Italy;/search/title/?country_of_origin=IT&ref_=tt_dt_cn;
Canada;/search/title/?country_of_origin=CA&ref_=tt_dt_cn;
Japan;/search/title/?country_of_origin=JP&ref_=tt_dt_cn;
Sweden;/search/title/?country_of_origin=SE&ref_=tt_dt_cn;
West Germany;/search/title/?country_of_origin=XWG&ref_=tt_dt_cn;
Switzerland;/search/title/?country_of_origin=CH&ref_=tt_dt_cn;
Ireland;/search/title/?country_of_origin=IE&ref_=tt_dt_cn;
Austria;/search/title/?country_of_origin=AT&ref_=tt_dt_cn;
Germany;/search/title/?country_of_origin=DE&ref_=tt_dt_cn;
Mexico;/search/title/?country_of_origin=MX&ref_=tt_dt_cn;
Australia;/search/title/?country_of_origin=AU&ref_=tt_dt_cn;
Belgium;/search/title/?country_of_origin=BE&ref_=tt_dt_cn;
Spain;/search/title/?country_of_origin=ES&ref_=tt_dt_cn;
Hong Kong;/search/title/?country_of_origin=HK&ref_=tt_dt_cn;
Portugal;/search/title/?country_of_origin=PT&ref_=tt_dt_cn;
Argentina;/search/title/?country_of_origin=AR&ref_=tt_dt_cn;
Brazil;/search/title/?country_of_origin=BR&ref_=tt_dt_cn;
New Zealand;/search/title/?country_of_origin=NZ&ref_=tt_dt_cn;
Israel;/search/title/?country_of_origin=IL&ref_=tt_dt_cn;
China;/search/title/?country_of_origin=CN&ref_=tt_dt_cn;
Czech Republic;/search/title/?country_of_origin=CZ&ref_=tt_dt_cn;
Ukraine;/search/title/?country_of_origin=UA&ref_=tt_dt_cn;
Russia;/search/title/?country_of_origin=RU&ref_=tt_dt_cn;
Latvia;/search/title/?country_of_origin=LV&ref_=tt_dt_cn;
Macao;/search/title/?country_of_origin=MO&ref_=tt_dt_cn;
Nigeria;/search/title/?country_of_origin=NG&ref_=tt_dt_cn;
Greece;/search/title/?country_of_origin=GR&ref_=tt_dt_cn;
South Africa;/search/title/?country_of_origin=ZA&ref_=tt_dt_cn;
Panama;/search/title/?country_of_origin=PA&ref_=tt_dt_cn;
Bahamas;/search/title/?country_of_origin=BS&ref_=tt_dt_cn;
Serbia;/search/title/?country_of_origin=RS&ref_=tt_dt_cn;
Yugoslavia;/search/title/?country_of_origin=XYU&ref_=tt_dt_cn;
Chile;/search/title/?country_of_origin=CL&ref_=tt_dt_cn;
Poland;/search/title/?country_of_origin=PL&ref_=tt_dt_cn;
